Consiglio portieri — 2026-07-26 11:41Z

1) michael-collodi: 63 pt (31-94)
   SQUADRA: dallas-frisco-texas | AVVERSARIO: la-galaxy-los-angeles-california
2) drake-callender: 61 pt (46-81)
   SQUADRA: minnesota-united-minneapolis-saint-paul-minnesota | AVVERSARIO: san-diego-san-diego
3) brian-schwake: 59 pt (41-78)
   SQUADRA: nashville-sc | AVVERSARIO: dc-united-washington-district-of-columbia
4) matt-turner: 56 pt (39-79)
   SQUADRA: new-england-foxborough-massachusetts | AVVERSARIO: montreal-impact-montreal-quebec
5) andrew-thomas-1998-09-01: 55 pt (36-78)
   SQUADRA: seattle-sounders-renton-washington | AVVERSARIO: portland-timbers-portland-oregon
6) freese-matthew: 55 pt (45-75)
   SQUADRA: new-york-city-new-york-new-york | AVVERSARIO: toronto-toronto
7) kristijan-kahlina: 44 pt (24-74)
   SQUADRA: charlotte-fc-charlotte-north-carolina | AVVERSARIO: chicago-fire-bridgeview-illinois
8) daniel-de-sousa-brito: 43 pt (32-66)
   SQUADRA: sj-earthquakes-santa-clara-california | AVVERSARIO: N/D
9) yohei-takaoka: 41 pt (6-75)
   SQUADRA: vancouver-whitecaps-vancouver-british-columbia | AVVERSARIO: los-angeles-fc-los-angeles-california
10) christopher-brady: 40 pt (20-71)
   SQUADRA: chicago-fire-bridgeview-illinois | AVVERSARIO: charlotte-fc-charlotte-north-carolina
11) brad-stuver: 39 pt (24-67)
   SQUADRA: austin-austin-texas | AVVERSARIO: colorado-rapids-denver-colorado
12) patrick-schulte: 30 pt (8-52)
   SQUADRA: columbus-crew-columbus-ohio | AVVERSARIO: inter-miami
13) roman-celentano: 29 pt (-12-70)
   SQUADRA: cincinnati-cincinnati-ohio | AVVERSARIO: sj-earthquakes-santa-clara-california
14) rocco-rios-novo: 25 pt (-15-65)
   SQUADRA: inter-miami | AVVERSARIO: columbus-crew-columbus-ohio
15) hugo-lloris: 23 pt (0-47)
   SQUADRA: los-angeles-fc-los-angeles-california | AVVERSARIO: vancouver-whitecaps-vancouver-british-columbia
16) nicholas-defreitas-hansen: 19 pt (-6-44)
   SQUADRA: colorado-rapids-denver-colorado | AVVERSARIO: austin-austin-texas
17) novak-micovic: 14 pt (-9-37)
   SQUADRA: la-galaxy-los-angeles-california | AVVERSARIO: dallas-frisco-texas
18) jonathan-sirois: 11 pt (5-31)
   SQUADRA: montreal-impact-montreal-quebec | AVVERSARIO: N/D
19) andrew-vincent-rick: 4 pt (0-44)
   SQUADRA: philadelphia-union-chester-pennsylvania | AVVERSARIO: atlanta-united-atlanta-georgia
20) thomas-hasal: 2 pt (-36-40)
   SQUADRA: los-angeles-fc-los-angeles-california | AVVERSARIO: vancouver-whitecaps-vancouver-british-columbia
21) isaac-boehmer: 1 pt (1-1)
   SQUADRA: san-diego-san-diego | AVVERSARIO: N/D

(0 esclusi/non disponibili questa giornata)
