Consiglio attaccanti — 2026-07-26 11:41Z

1) lionel-andres-messi-cuccittini: 78 pt (58-97)
   SQUADRA: inter-miami | AVVERSARIO: columbus-crew-columbus-ohio
2) rafael-navarro-leal: 62 pt (38-86)
   SQUADRA: colorado-rapids-denver-colorado | AVVERSARIO: austin-austin-texas
3) dor-david-turgeman: 56 pt (30-83)
   SQUADRA: new-england-foxborough-massachusetts | AVVERSARIO: montreal-impact-montreal-quebec
4) philip-zinckernagel: 53 pt (22-84)
   SQUADRA: chicago-fire-bridgeview-illinois | AVVERSARIO: charlotte-fc-charlotte-north-carolina
5) julian-hall-2008-03-24: 51 pt (24-79)
   SQUADRA: new-york-rb-secaucus-new-jersey | AVVERSARIO: orlando-city-lake-mary-florida
6) cristian-omar-espinoza: 48 pt (27-65)
   SQUADRA: nashville-sc | AVVERSARIO: dc-united-washington-district-of-columbia
7) denis-bouanga: 44 pt (21-81)
   SQUADRA: los-angeles-fc-los-angeles-california | AVVERSARIO: vancouver-whitecaps-vancouver-british-columbia
8) maximilian-arfsten: 42 pt (15-68)
   SQUADRA: columbus-crew-columbus-ohio | AVVERSARIO: inter-miami
9) antoine-griezmann: 41 pt (25-58)
   SQUADRA: atletico-madrid-madrid | AVVERSARIO: N/D
10) hannes-wolf: 41 pt (17-66)
   SQUADRA: new-york-city-new-york-new-york | AVVERSARIO: toronto-toronto
11) heung-min-son: 40 pt (17-63)
   SQUADRA: los-angeles-fc-los-angeles-california | AVVERSARIO: vancouver-whitecaps-vancouver-british-columbia
12) luca-daniel-langoni: 38 pt (12-64)
   SQUADRA: new-england-foxborough-massachusetts | AVVERSARIO: montreal-impact-montreal-quebec
13) brian-white: 37 pt (19-65)
   SQUADRA: vancouver-whitecaps-vancouver-british-columbia | AVVERSARIO: los-angeles-fc-los-angeles-california
14) ousseni-bouda: 37 pt (12-61)
   SQUADRA: sj-earthquakes-santa-clara-california | AVVERSARIO: cincinnati-cincinnati-ohio
15) prince-osei-owusu: 36 pt (2-70)
   SQUADRA: montreal-impact-montreal-quebec | AVVERSARIO: new-england-foxborough-massachusetts
16) thomas-muller: 36 pt (8-63)
   SQUADRA: vancouver-whitecaps-vancouver-british-columbia | AVVERSARIO: los-angeles-fc-los-angeles-california
17) amahl-pellegrino: 35 pt (24-51)
   SQUADRA: san-diego-san-diego | AVVERSARIO: minnesota-united-minneapolis-saint-paul-minnesota
18) bernard-kamungo: 34 pt (19-58)
   SQUADRA: dallas-frisco-texas | AVVERSARIO: la-galaxy-los-angeles-california
19) logan-farrington: 34 pt (8-60)
   SQUADRA: dallas-frisco-texas | AVVERSARIO: la-galaxy-los-angeles-california
20) jahkeele-marshall-rutty: 32 pt (6-57)
   SQUADRA: new-york-rb-secaucus-new-jersey | AVVERSARIO: orlando-city-lake-mary-florida
21) sam-surridge: 32 pt (5-59)
   SQUADRA: nashville-sc | AVVERSARIO: dc-united-washington-district-of-columbia
22) thai-baribo: 32 pt (6-57)
   SQUADRA: dc-united-washington-district-of-columbia | AVVERSARIO: nashville-sc
23) marcus-ingvartsen: 30 pt (6-53)
   SQUADRA: san-diego-san-diego | AVVERSARIO: minnesota-united-minneapolis-saint-paul-minnesota
24) david-enmanuel-martinez-morales: 29 pt (15-42)
   SQUADRA: los-angeles-fc-los-angeles-california | AVVERSARIO: vancouver-whitecaps-vancouver-british-columbia
25) darren-yapi: 26 pt (10-44)
   SQUADRA: colorado-rapids-denver-colorado | AVVERSARIO: austin-austin-texas
26) ender-jesus-echenique-pena: 26 pt (1-50)
   SQUADRA: cincinnati-cincinnati-ohio | AVVERSARIO: sj-earthquakes-santa-clara-california
27) jonathan-bamba: 26 pt (2-50)
   SQUADRA: chicago-fire-bridgeview-illinois | AVVERSARIO: charlotte-fc-charlotte-north-carolina
28) griffin-yow: 24 pt (13-34)
   SQUADRA: new-england-foxborough-massachusetts | AVVERSARIO: montreal-impact-montreal-quebec
29) georgi-minoungou: 23 pt (15-32)
   SQUADRA: colorado-rapids-denver-colorado | AVVERSARIO: austin-austin-texas
30) robert-lewandowski: 23 pt (-2-48)
   SQUADRA: barcelona-barcelona | AVVERSARIO: N/D
31) emilio-aristizabal-chavarriaga: 10 pt (-3-23)
   SQUADRA: toronto-toronto | AVVERSARIO: new-york-city-new-york-new-york
32) liel-abada: 10 pt (-10-31)
   SQUADRA: charlotte-fc-charlotte-north-carolina | AVVERSARIO: chicago-fire-bridgeview-illinois
33) malachi-jones: 7 pt (-18-32)
   SQUADRA: new-york-city-new-york-new-york | AVVERSARIO: toronto-toronto
34) tyler-boyd: 6 pt (-13-25)
   SQUADRA: los-angeles-fc-los-angeles-california | AVVERSARIO: vancouver-whitecaps-vancouver-british-columbia
35) jacob-shaffelburg: 5 pt (2-7)
   SQUADRA: los-angeles-fc-los-angeles-california | AVVERSARIO: vancouver-whitecaps-vancouver-british-columbia
36) osaze-de-rosario: 5 pt (-5-16)
   SQUADRA: seattle-sounders-renton-washington | AVVERSARIO: portland-timbers-portland-oregon
37) samuel-sarver: 4 pt (-14-23)
   SQUADRA: dallas-frisco-texas | AVVERSARIO: la-galaxy-los-angeles-california
38) daniel-pinter-2007-06-06: 2 pt (2-2)
   SQUADRA: charlotte-fc-charlotte-north-carolina | AVVERSARIO: N/D

(6 esclusi/non disponibili questa giornata)
