Consiglio difensori — 2026-07-26 16:14Z

1) gi-hyuk-lee: 74 pt (65-86)
   SQUADRA: gangwon-gangneung | AVVERSARIO: bucheon-1995-bucheon
2) joon-hyuck-kang: 70 pt (51-89)
   SQUADRA: gangwon-gangneung | AVVERSARIO: bucheon-1995-bucheon
3) you-hyeon-lee: 62 pt (48-75)
   SQUADRA: gangwon-gangneung | AVVERSARIO: bucheon-1995-bucheon
4) jeong-won-eo: 56 pt (38-89)
   SQUADRA: pohang-steelers-pohang | AVVERSARIO: sangju-sangmu-sangju
5) julien-celestine: 56 pt (42-77)
   SQUADRA: jeju-united-seogwipo-jeju-do | AVVERSARIO: incheon-united-incheon
6) moon-hwan-kim: 52 pt (38-64)
   SQUADRA: daejeon-citizen-daejeon | AVVERSARIO: gwangju-gwangju
7) cheol-woo-park: 51 pt (33-72)
   SQUADRA: sangju-sangmu-sangju | AVVERSARIO: pohang-steelers-pohang
8) juan-antonio-ros-martinez: 51 pt (34-70)
   SQUADRA: seoul-seoul | AVVERSARIO: jeonbuk-motors-jeonju
9) joo-yong-lee: 47 pt (31-59)
   SQUADRA: incheon-united-incheon | AVVERSARIO: jeju-united-seogwipo-jeju-do
10) ryun-sung-kim: 46 pt (25-64)
   SQUADRA: jeju-united-seogwipo-jeju-do | AVVERSARIO: incheon-united-incheon
11) jun-choi: 44 pt (31-62)
   SQUADRA: seoul-seoul | AVVERSARIO: jeonbuk-motors-jeonju
12) myung-jae-lee: 44 pt (26-69)
   SQUADRA: daejeon-citizen-daejeon | AVVERSARIO: gwangju-gwangju
13) myung-sun-kim: 44 pt (33-59)
   SQUADRA: incheon-united-incheon | AVVERSARIO: jeju-united-seogwipo-jeju-do
14) seong-kwon-jo: 44 pt (32-63)
   SQUADRA: daejeon-citizen-daejeon | AVVERSARIO: gwangju-gwangju
15) hyun-taek-cho: 42 pt (28-65)
   SQUADRA: ulsan-ulsan | AVVERSARIO: anyang-anyang
16) chan-yong-park: 41 pt (32-51)
   SQUADRA: pohang-steelers-pohang | AVVERSARIO: sangju-sangmu-sangju
17) tae-hee-lee-1992-06-16: 41 pt (26-57)
   SQUADRA: anyang-anyang | AVVERSARIO: ulsan-ulsan
18) jin-su-kim: 40 pt (26-49)
   SQUADRA: seoul-seoul | AVVERSARIO: jeonbuk-motors-jeonju
19) dong-jin-kim: 38 pt (28-51)
   SQUADRA: anyang-anyang | AVVERSARIO: ulsan-ulsan
20) seung-hyun-jung: 38 pt (28-51)
   SQUADRA: ulsan-ulsan | AVVERSARIO: anyang-anyang
21) chang-rae-ha: 36 pt (16-62)
   SQUADRA: daejeon-citizen-daejeon | AVVERSARIO: gwangju-gwangju
22) patrick-william-sa-de-oliveira: 34 pt (16-43)
   SQUADRA: bucheon-1995-bucheon | AVVERSARIO: gangwon-gangneung
23) 1993-01-17: 33 pt (13-51)
   SQUADRA: pohang-steelers-pohang | AVVERSARIO: sangju-sangmu-sangju
24) chang-yong-lee: 33 pt (26-38)
   SQUADRA: anyang-anyang | AVVERSARIO: ulsan-ulsan
25) yazan-abo-alarab: 30 pt (6-51)
   SQUADRA: seoul-seoul | AVVERSARIO: jeonbuk-motors-jeonju
26) thomas-oude-kotte: 28 pt (15-38)
   SQUADRA: anyang-anyang | AVVERSARIO: ulsan-ulsan
27) tae-hwan-kim-1989-07-24: 27 pt (18-40)
   SQUADRA: jeonbuk-motors-jeonju | AVVERSARIO: seoul-seoul
28) italo-moreira-barcelos: 26 pt (12-50)
   SQUADRA: jeju-united-seogwipo-jeju-do | AVVERSARIO: incheon-united-incheon
29) min-duk-kim: 23 pt (11-34)
   SQUADRA: daejeon-citizen-daejeon | AVVERSARIO: gwangju-gwangju
30) tae-hyun-kim: 21 pt (8-34)
   SQUADRA: jeonbuk-motors-jeonju | AVVERSARIO: seoul-seoul
31) young-gwon-kim: 20 pt (7-35)
   SQUADRA: ulsan-ulsan | AVVERSARIO: anyang-anyang
32) seok-hyun-choi: 19 pt (0-42)
   SQUADRA: ulsan-ulsan | AVVERSARIO: anyang-anyang
33) min-gyu-jang: 18 pt (12-28)
   SQUADRA: jeju-united-seogwipo-jeju-do | AVVERSARIO: incheon-united-incheon
34) myung-guan-seo: 17 pt (0-43)
   SQUADRA: ulsan-ulsan | AVVERSARIO: anyang-anyang
35) si-woo-jin: 15 pt (0-37)
   SQUADRA: gwangju-gwangju | AVVERSARIO: N/D
36) soo-il-park: 14 pt (0-30)
   SQUADRA: seoul-seoul | AVVERSARIO: jeonbuk-motors-jeonju
37) jae-woo-kim: 13 pt (1-24)
   SQUADRA: jeju-united-seogwipo-jeju-do | AVVERSARIO: incheon-united-incheon
38) jin-ho-kim: 12 pt (0-30)
   SQUADRA: gwangju-gwangju | AVVERSARIO: daejeon-citizen-daejeon
39) ki-min-kwon: 12 pt (0-30)
   SQUADRA: jeju-united-seogwipo-jeju-do | AVVERSARIO: incheon-united-incheon
40) woo-jin-choi: 11 pt (0-32)
   SQUADRA: jeonbuk-motors-jeonju | AVVERSARIO: seoul-seoul
41) chan-ouk-lee: 9 pt (3-13)
   SQUADRA: sangju-sangmu-sangju | AVVERSARIO: pohang-steelers-pohang
42) jin-seong-park: 5 pt (0-21)
   SQUADRA: sangju-sangmu-sangju | AVVERSARIO: pohang-steelers-pohang
43) ho-young-park: 3 pt (3-3)
   SQUADRA: gangwon-gangneung | AVVERSARIO: bucheon-1995-bucheon

(0 esclusi/non disponibili questa giornata)
