Consiglio attaccanti — 2026-07-27 09:27Z

1) dae-won-kim: 67 pt (46-89)
   SQUADRA: gangwon-gangneung | AVVERSARIO: bucheon-1995-bucheon
2) oberdan-alionco-de-lima: 54 pt (45-59)
   SQUADRA: jeonbuk-motors-jeonju | AVVERSARIO: seoul-seoul
3) dong-kyung-lee: 45 pt (33-54)
   SQUADRA: ulsan-ulsan | AVVERSARIO: anyang-anyang
4) jae-hyun-mo: 45 pt (28-68)
   SQUADRA: gangwon-gangneung | AVVERSARIO: bucheon-1995-bucheon
5) ho-jae-lee: 42 pt (28-61)
   SQUADRA: pohang-steelers-pohang | AVVERSARIO: sangju-sangmu-sangju
6) jefferson-fernando-isidio: 41 pt (32-54)
   SQUADRA: bucheon-1995-bucheon | AVVERSARIO: gangwon-gangneung
7) dong-jun-lee: 39 pt (27-62)
   SQUADRA: jeonbuk-motors-jeonju | AVVERSARIO: seoul-seoul
8) min-kyu-song: 35 pt (26-38)
   SQUADRA: seoul-seoul | AVVERSARIO: jeonbuk-motors-jeonju
9) gerso-fernandes: 33 pt (15-54)
   SQUADRA: incheon-united-incheon | AVVERSARIO: jeju-united-seogwipo-jeju-do
10) yago-cariello-ribeiro: 30 pt (12-46)
   SQUADRA: ulsan-ulsan | AVVERSARIO: anyang-anyang
11) masatoshi-ishida: 28 pt (8-52)
   SQUADRA: daejeon-citizen-daejeon | AVVERSARIO: gwangju-gwangju
12) patryk-klimala: 27 pt (13-44)
   SQUADRA: seoul-seoul | AVVERSARIO: jeonbuk-motors-jeonju
13) seung-seop-kim: 27 pt (18-31)
   SQUADRA: jeonbuk-motors-jeonju | AVVERSARIO: seoul-seoul
14) bruno-rodrigues-mota: 26 pt (16-44)
   SQUADRA: jeonbuk-motors-jeonju | AVVERSARIO: seoul-seoul
15) stefan-mugosa: 26 pt (5-40)
   SQUADRA: incheon-united-incheon | AVVERSARIO: jeju-united-seogwipo-jeju-do
16) byung-chan-choi: 23 pt (14-46)
   SQUADRA: gangwon-gangneung | AVVERSARIO: bucheon-1995-bucheon
17) jin-su-seo: 23 pt (3-42)
   SQUADRA: daejeon-citizen-daejeon | AVVERSARIO: gwangju-gwangju
18) dong-ryul-lee: 18 pt (3-34)
   SQUADRA: incheon-united-incheon | AVVERSARIO: jeju-united-seogwipo-jeju-do
19) min-kyu-joo: 17 pt (0-35)
   SQUADRA: daejeon-citizen-daejeon | AVVERSARIO: gwangju-gwangju
20) marcos-vinicius-amaral-alves: 13 pt (0-51)
   SQUADRA: ulsan-ulsan | AVVERSARIO: anyang-anyang
21) sang-heon-lee-1998-02-26: 13 pt (6-19)
   SQUADRA: sangju-sangmu-sangju | AVVERSARIO: pohang-steelers-pohang
22) paulo-afonso-da-rocha-junior: 11 pt (3-12)
   SQUADRA: pohang-steelers-pohang | AVVERSARIO: sangju-sangmu-sangju
23) vitor-gabriel-claudino-rego-ferreira: 10 pt (0-20)
   SQUADRA: bucheon-1995-bucheon | AVVERSARIO: gangwon-gangneung
24) hyun-woo-chae: 9 pt (0-21)
   SQUADRA: anyang-anyang | AVVERSARIO: ulsan-ulsan
25) tiago-pereira-da-silva: 9 pt (2-16)
   SQUADRA: jeonbuk-motors-jeonju | AVVERSARIO: seoul-seoul
26) seong-min-kim: 5 pt (0-26)
   SQUADRA: incheon-united-incheon | AVVERSARIO: jeju-united-seogwipo-jeju-do
27) byung-kwan-jeon: 3 pt (0-5)
   SQUADRA: sangju-sangmu-sangju | AVVERSARIO: pohang-steelers-pohang
28) jae-joon-an: 3 pt (0-6)
   SQUADRA: pohang-steelers-pohang | AVVERSARIO: sangju-sangmu-sangju
29) yun-ho-kim: 1 pt (1-1)
   SQUADRA: pohang-steelers-pohang | AVVERSARIO: N/D

(2 esclusi/non disponibili questa giornata)
